,timeOnPage,maxDepth,scrollState,brightnessWeight,showHilbert,algorithm,selectedArtwork,loadStatus,showHilbertDetails,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,timeSect6,mobile,x,y
1101,35356,12171.0,10,0,0,1,0.0,1,0,695,4299,8160,6120,2995,4195,8202,0,-15.468432,38.59578
1102,12272,1528.800048828125,1,0,0,0,0.5,0,0,897,2065,0,0,0,0,0,0,32.02218,10.485448
1103,23564,7070.0,8,0,0,1,14.0,2,0,5544,2219,86,3875,660,6836,0,0,2.6984234,37.95721
1104,17582,2600.0,5,0,0,0,2.5,2,0,441,6651,598,0,0,0,0,0,19.083555,14.506943
1105,46032,6412.0,6,0,0,1,0.0,2,0,19720,10339,5196,6680,3269,797,0,0,-14.276082,13.496437
1106,686668,7878.0,6,284,4,7,0.0,2,3,29760,60555,51587,79722,114319,342152,0,0,11.386818,-56.82507
1107,1502,9880.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1436,0,33.82471,49.04686
1108,18960,3164.0,4,0,0,0,0.0,1,0,1801,2994,3239,0,0,0,0,0,21.119822,21.926722
1109,3381172,11134.0,8,0,0,18,0.0,2,0,9058,6442,4594,2256,1460,3318868,32158,0,47.910694,-36.97542
1110,17201,3469.0,5,0,0,0,1.0,2,0,3405,3108,4996,0,0,0,0,0,21.966093,22.307655
1111,454777,7200.0,5,11,0,5,30.0,1,0,2194,8289,11667,385361,20051,24504,0,0,14.447109,-38.769817
1112,127590,12140.8837890625,6,0,0,1,14.0,2,0,799,17370,6739,3167,1969,2370,11081,0,-56.46292,-20.020864
1113,431637,11513.0,13,0,0,1,48.0,2,0,65832,7693,15790,5435,4144,16188,11783,0,2.9871385,-66.05327
1114,534469,11840.0,11,5,2,13,0.0,0,1,23624,32638,51590,58045,147528,106854,109595,0,13.6154175,-51.483585
1115,88027,10823.0,11,0,0,7,2.0,2,0,256,2561,6557,541,4291,64823,2769,0,-53.263638,10.268832
1116,253349,7719.0,12,0,0,1,0.0,2,0,924,43187,80682,48867,17434,33329,0,0,-21.148615,-40.96462
1117,9082,1600.0,3,0,0,0,5.0,2,0,361,1405,0,0,0,0,0,0,37.600876,9.615091
1118,39760,7392.0,6,0,0,1,20.0,2,0,4165,16555,4184,3287,2836,992,0,0,-6.8516355,19.159512
1119,1218427,11090.0,13,18,2,3,4.0,2,2,4866,22131,7557,3867,6029,18934,66474,0,32.296818,-44.623573
1120,163334,7275.0,7,23,0,1,7.0,2,0,26970,27341,48029,23132,13083,16052,0,0,-22.275492,-20.371037
1121,80310,12411.0,11,38,0,9,0.0,2,0,950,2623,11309,2919,3289,23601,20992,0,-47.20423,5.3821297
1122,319944,7591.0,12,164,2,15,22.0,2,1,2867,19561,33242,87991,115368,55117,0,0,-12.411542,-46.354473
1123,50418,5473.0,7,3,0,0,4.0,1,0,0,3447,39922,2184,148,0,0,0,-18.652443,20.010754
1124,10934,6304.0,7,0,0,0,0.0,1,0,250,1783,1387,1866,417,584,0,0,28.972845,35.556904
1125,437154,8300.0,6,113,2,5,32.0,2,2,40154,37888,39819,51917,20225,132627,69810,0,4.1693897,-54.285656
1126,185915,1000.0,2,0,0,0,0.0,2,0,94423,207,0,0,0,0,0,0,-7.7752757,-14.435932
1127,1090407,432.0,3,0,0,0,1.0,2,0,3255,0,0,0,0,0,0,0,32.050827,-45.882217
1128,90131,2667.0,4,0,0,0,13.0,2,0,5984,19320,1693,0,0,0,0,0,-51.579433,24.653435
1129,385935,3875.0,4,0,0,0,0.0,2,0,2257,3009,24430,96,0,0,0,0,1.0176065,-68.01322
1130,39173,6810.0,6,0,0,1,5.0,2,0,4516,5818,14468,4150,2084,1116,0,0,-8.817284,24.119648
1131,162979,11295.0,6,64,0,6,49.0,2,0,5649,18953,23604,11034,28754,42893,22886,0,-36.415405,-27.349987
1132,1667339,9651.400390625,11,0,0,1,0.0,2,0,22212,5391,4617,1242,1792,1250,2283,0,35.35191,-41.113125
1133,1047635,9993.0,10,52,0,9,46.0,2,0,30613,34460,37166,815235,33105,80233,11231,0,18.656727,-39.641876
1134,38052,11306.0,12,0,0,1,2.0,2,0,367,1251,1989,1751,1801,2053,3285,0,-12.969117,33.858334
1135,663956,11700.0,10,140,0,4,71.0,2,0,136681,45464,74984,54417,78281,58383,212794,0,10.81574,-49.668133
1136,25327,10598.0,2,0,0,1,0.0,0,0,0,0,0,0,0,0,2956,0,7.6055064,45.63529
1137,54841,7962.0,6,0,0,4,0.0,2,0,1640,9789,18510,8307,4149,9166,0,0,-22.371689,19.122372
1138,156199,7591.0,6,44,0,7,18.0,2,0,21375,18691,16770,5891,27127,52734,0,0,-32.841484,-27.082205
1139,75415,6428.0,6,0,0,1,17.0,2,0,11424,12642,28917,2743,2113,124,0,0,-25.413101,2.8640103
1140,44814,7893.5,4,0,0,3,0.0,0,0,3161,7132,8282,2784,2055,18778,0,0,-30.239473,32.088768
1141,32758,10998.0,12,0,0,5,5.0,1,0,1091,13178,223,1032,258,1269,12914,0,-14.587039,42.30287
1142,23311,7365.0,6,0,0,1,0.0,2,0,946,2904,4212,6592,2222,2290,0,0,5.903707,30.030216
1143,1423220,11389.0,10,42,0,1,212.0,2,0,63969,310318,194078,147869,6995,470554,217868,0,28.914843,-42.068783
1144,23157,8460.0,5,0,0,1,0.0,1,0,81,3569,1770,4026,910,1396,33,0,8.315284,31.485283
1145,50278,11055.0,11,0,0,1,0.0,2,0,1005,5930,9424,3182,2758,11556,8718,0,-27.687693,29.369827
1146,108518,7668.0,6,21,0,7,3.0,2,0,6410,11870,13125,7427,20567,41620,0,0,-55.06979,6.35173
1147,323456,13571.0,13,60,2,5,31.0,2,2,97,3336,34752,5834,46408,67154,142546,0,-13.66625,-56.29835
1148,234636,12854.0,6,19,2,3,42.0,2,1,4606,9604,14809,6536,4566,13313,165125,0,-40.88458,-43.25548
1149,57153,6855.0,6,0,0,1,0.0,2,0,20156,16893,10521,6332,1432,383,0,0,-19.47524,10.180848
1150,16970,4489.0,7,0,0,0,4.0,2,0,763,2060,3339,869,0,0,0,0,23.313604,24.388968
1151,254921,12593.0,7,18,2,1,39.0,2,1,13878,35271,49512,42124,43990,15119,43847,0,-20.757978,-38.106113
1152,68134,12071.0,20,0,0,1,1.0,0,0,9010,6578,12805,7801,2669,2880,16732,0,-36.661854,19.081713
1153,849706,10627.0,8,9,2,1,8.0,2,1,17685,36499,72113,71879,628639,3191,7310,0,20.038162,-47.630928
1154,1692713,10657.0,5,0,0,3,0.0,0,0,0,0,0,1706,4103,61438,1623381,0,43.95483,-44.34595
1155,122238,9467.0,6,0,0,0,0.0,0,0,0,0,161,0,1104,498,118921,0,-43.9005,-39.467506
1156,548996,2672.0,3,0,0,0,19.0,2,0,40897,37566,882,0,0,0,0,0,8.742086,-66.890915
1157,458858,7668.0,5,14,0,4,6.0,1,0,20452,31492,228842,47377,77214,47165,0,0,-3.3515005,-40.082108
1158,73694,11412.0,11,0,0,5,19.0,2,0,2765,9300,13243,3171,2599,7963,10643,0,-37.02078,17.718033
1159,187218,12653.0,13,75,2,3,70.0,2,1,12668,4568,19720,21853,46190,13319,26987,0,-31.771366,-32.511696
1160,8042,268.0,2,0,0,0,0.0,2,0,4568,0,0,0,0,0,0,0,38.51333,1.380495
1161,4668,24.0,3,0,0,0,0.0,2,0,33,0,0,0,0,0,0,0,47.66728,5.328506
1162,17106,10969.0,11,0,0,1,8.0,2,0,599,3534,2458,298,864,1381,1776,0,15.578213,42.42731
1163,460015,4332.0,6,0,0,0,27.0,2,0,81180,48389,117189,1461,0,0,0,0,-4.7707243,-38.221027
1164,21400,9006.0,11,0,0,3,0.0,2,0,233,4711,2591,896,1162,1046,3877,0,10.206025,42.121937
1165,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,31.631805,73.19811
1166,42951,11172.0,12,19,0,3,6.0,1,0,223,610,870,268,1073,15207,23511,0,-26.049908,39.052486
1167,367067,3298.0,7,0,0,0,17.0,2,0,621,5598,5087,0,0,0,0,0,-18.387352,-66.995155
1168,129819,7662.0,6,2,0,4,21.0,2,0,567,65196,6440,45760,4937,1248,0,0,-24.577864,-16.06838
1169,741394,10798.0,12,106,4,3,382.0,1,3,39530,53827,94576,60729,137932,113198,234961,0,23.014093,-55.282898
1170,842002,13024.0,21,231,2,9,31.0,2,1,25267,29554,31083,37684,5488,106765,217569,0,22.77758,-57.13213
1171,31535,11156.0,11,0,0,1,0.0,2,0,4427,2523,4684,870,471,1959,4597,0,-10.08652,39.33064
1172,92856,12208.0,11,0,0,3,3.0,2,0,698,3098,10453,3332,2467,49431,14635,0,-51.572224,8.156951
1173,189130,11578.0,5,20,2,5,9.0,1,1,6198,10401,26316,40878,3031,24688,57085,0,-37.349842,-36.946938
