,timeOnPage,maxDepth,scrollState,brightnessWeight,showHilbert,algorithm,selectedArtwork,loadStatus,showHilbertDetails,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,timeSect6,mobile,x,y
37,183121,8135.0,8,132,2,3,61.0,2,1,1435,9413,6400,5949,17734,9128,4233,0,2.3608837,0.21706617
38,59648,8265.0,6,29,2,4,0.0,2,1,199,4358,3563,8829,14666,1332,10119,0,7.6820536,2.333513
39,1849761,9958.400390625,11,66,2,3,97.0,2,1,115594,226229,73234,137061,827581,165317,215810,0,11.469427,2.498123
40,655352,7376.0,6,0,0,1,0.0,2,0,4493,2352,5139,3987,3975,624,0,0,0.32373306,-0.33932734
41,292171,7508.0,6,13,0,3,35.0,2,0,29860,37016,22816,12450,50283,88719,0,0,9.489077,3.3987148
42,107238,12539.0,10,58,0,3,0.0,1,0,1647,1687,12225,28530,1029,12487,45728,0,5.2851243,4.467805
43,32499,1046.4000244140623,1,0,0,0,0.0,1,0,26592,263,0,0,0,0,0,0,2.9660807,-7.6971445
44,24013,13269.0,11,0,0,1,2.0,2,0,1959,1676,1581,881,1480,1385,6866,0,3.805239,2.3279347
45,184089,11300.0,11,0,0,1,28.0,2,0,2195,2819,10942,11714,5841,62768,75376,0,6.4668303,5.7191916
46,216676,11240.0,15,0,0,8,0.0,2,0,19117,5949,10583,6368,9817,27742,133777,0,3.9392943,6.1285524
47,133512,11400.0,11,5,0,5,14.0,2,0,2781,19219,14078,7469,20168,25190,33980,0,6.546898,3.752549
48,26827,7979.0,5,0,0,1,0.0,2,0,884,2739,6820,1085,1706,2841,0,0,6.2237897,0.5573328
49,6866305,11598.0,21,196,4,6,54.0,2,3,772180,23924,67577,35798,43640,7305,109881,0,1.7700526,-2.3442385
50,640509,12807.0,27,1190,2,15,216.0,2,1,17958,53719,50172,43423,68953,189571,208826,0,6.693239,4.975754
51,32244,6174.0,6,0,0,1,0.0,2,0,1749,3481,4064,2701,2729,0,0,0,5.910941,-0.23841386
52,20429,10646.6669921875,11,0,0,1,3.0,2,0,237,2348,958,473,337,466,6048,0,3.8362715,2.4817398
53,783940,10998.0,10,18,0,1,7.0,2,0,1186,6097,8903,697769,22809,17121,14001,0,12.699735,-1.5792722
54,44431,7849.0,6,17,0,3,2.0,2,0,1142,3865,10601,2117,13716,5517,0,0,10.093705,1.7011263
55,613287,11760.0,20,0,0,1,0.0,0,0,699,1367,2193,1322,1280,734,1490,0,0.48171225,-0.6357831
56,350853,11833.0,11,24,2,6,16.0,2,1,13892,21265,26560,54461,9075,124162,96172,0,7.2279983,4.892824
57,1056901,12199.0,16,35,2,10,98.0,0,2,10059,30439,55986,11171,41605,73955,826830,0,2.8774903,6.452497
58,30118,11244.7998046875,11,0,0,8,67.0,2,0,2784,1222,10074,2317,924,1188,5626,0,5.659526,1.1572696
59,66167,10904.0,10,0,0,5,0.0,0,0,1926,3047,987,1388,779,1630,50671,0,2.6707535,5.4002585
60,21617,11762.0,6,0,0,1,24.0,2,0,716,2817,2116,2666,1833,2801,6766,0,3.928879,2.1917975
61,36861,7029.0,6,0,0,1,0.0,2,0,2533,5717,5484,4266,3534,673,0,0,6.5192204,-0.30375493
62,84062,7323.0,6,0,0,1,18.0,2,0,11926,19452,42339,1683,567,133,0,0,9.029959,-2.6727784
63,32288,1309.0,2,0,0,0,8.0,2,0,22695,1516,0,0,0,0,0,0,2.987078,-6.6844926
64,29962,1482.0,5,0,0,0,3.0,2,0,4217,8576,0,0,0,0,0,0,4.8733463,-3.0060701
65,26054,6494.0,6,0,0,1,0.0,2,0,2380,1982,8289,2290,2778,51,0,0,7.3257093,-0.81341916
66,48024,9490.400390625,10,0,0,2,0.0,1,0,1174,4549,6048,4340,6328,14632,5348,0,7.785417,3.9674876
67,36963,12290.0,20,0,0,1,6.0,1,0,2772,4128,3117,5613,1505,5878,9037,0,4.974162,2.3938248
68,56422,7672.0,5,0,0,6,0.0,1,0,6724,4524,4827,2733,2785,31859,0,0,9.380403,5.643111
69,47996,7024.0,6,0,0,3,0.0,2,0,3202,6689,3622,3954,3409,16591,0,0,8.369599,3.8867097
70,146840,11970.0,13,79,0,5,12.0,2,0,27744,19235,10467,10230,3622,19835,51240,0,5.282758,3.760955
71,35689,6881.0,6,28,0,1,0.0,2,0,350,4866,6435,3984,13151,234,0,0,10.733997,1.2322962
72,45700,11627.0,11,0,0,7,1.0,2,0,1048,2388,2860,1986,1311,1755,29265,0,3.3104997,4.907492
73,51520,4554.4443359375,6,0,0,0,77.0,0,0,13315,13000,17284,3635,0,0,0,0,7.2554526,-2.7140868
74,28076,9888.888671875,5,5,0,5,34.0,1,0,501,1083,2884,1716,6900,9634,2099,0,7.9806004,4.2475505
75,389881,7476.0,6,35,0,5,10.0,2,0,14424,25837,24578,14637,23791,55044,0,0,2.926825,0.66554666
76,18960,5583.0,6,0,0,0,10.0,1,0,849,6794,4272,2467,557,0,0,0,6.6260495,-1.7116742
77,787447,14000.0,9,129,0,3,27.0,0,0,3298,615134,1974,42528,15353,1309,78175,0,9.421418,-5.640569
78,11235,7403.0,6,0,0,1,0.0,2,0,1328,1923,439,1025,650,438,0,0,4.025276,0.47586435
79,260437,11600.0,11,0,0,1,0.0,2,0,6397,9550,4574,16940,211654,1230,6787,0,12.964567,2.5405908
80,142950,7725.0,8,0,1,0,0.0,2,1,16479,2224,1273,3202,1594,3292,0,0,2.0797613,-2.2056108
81,85372,7045.0,10,0,0,0,0.0,2,0,16524,2749,2751,1533,1758,2792,0,0,2.6572552,-2.6959705
82,0,0.0,1,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,16.190245,16.267813
83,0,0.0,1,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,16.2619,16.314392
84,0,0.0,1,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,16.216696,16.218985
85,0,0.0,1,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,16.682632,16.354595
86,56268,11713.0,10,0,0,1,0.5,2,0,166,1205,0,124,664,375,969,0,3.632679,-0.29464915
87,0,0.0,1,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,16.476412,16.57691
88,7256,1531.0,2,0,0,0,0.0,2,0,1056,551,0,0,0,0,0,0,3.7976732,-2.2018278
89,102476,6544.0,7,0,0,0,0.0,2,0,9789,2144,1333,828,853,0,0,0,2.0751987,-1.9649416
90,28496,475.0,3,0,0,0,6.0,2,0,5516,0,0,0,0,0,0,0,2.0960903,-3.0530424
91,62824,7389.0,6,28,2,5,0.0,2,2,7067,5766,13452,4883,13686,11767,0,0,9.433854,1.6733042
92,54596,2493.0,3,0,0,0,42.0,2,0,9883,35665,978,0,0,0,0,0,8.097596,-5.5109334
93,148837,8768.0,1,48,1,0,0.0,0,1,1467,34633,1072,35383,946,40967,562,0,8.36381,1.6400849
94,456647,10897.0,6,99,0,4,14.0,2,0,101804,25636,35107,103869,66899,85711,34156,0,8.4452505,1.7559813
95,128420,10227.7783203125,6,0,0,1,9.0,2,0,680,1689,1337,2694,314,954,2904,0,2.2363546,-0.7071057
96,243831,8233.0,6,30,2,3,6.0,2,1,19948,24459,22081,14004,15977,31388,44723,0,6.483563,2.7969065
97,1644631,11127.2001953125,13,0,0,1,63.0,2,0,52687,122523,130104,1322326,971,1624,3279,0,12.265218,-1.3922389
98,153068,11731.0,16,20,0,9,55.0,2,0,21041,28641,22774,14181,5816,23540,22477,0,7.0245595,1.968128
99,232316,9718.0,12,0,0,6,0.0,1,0,912,8179,6039,20835,8048,124388,59423,0,8.025748,5.8764863
100,18547,11359.0,11,0,0,1,0.0,2,0,610,447,723,455,138,387,12680,0,2.7425225,3.7942052
101,5561,997.0,2,0,0,0,0.0,2,0,308,703,0,0,0,0,0,0,3.8641987,-1.6469444
102,16481,1078.0,3,0,0,0,0.0,2,0,3601,3013,0,0,0,0,0,0,4.591305,-3.1890407
103,324380,3390.0,3,0,0,0,21.0,2,0,161410,71447,78817,0,0,0,0,0,5.6662197,-4.143327
104,122229,7392.0,11,0,0,1,0.0,2,0,240,342,1462,1591,420,10136,0,0,1.8871413,0.24935195
105,105851,7826.0,5,0,2,3,0.0,0,1,1506,7215,15651,7352,15661,51470,0,0,9.879577,4.7515
106,976588,12344.0,32,81,2,9,150.0,1,2,81172,47413,56031,53024,151697,276332,293759,0,6.868884,4.730107
107,869590,11863.0,20,0,0,1,63.0,0,0,2020,2162,129940,141787,1597,2831,389440,0,4.7616763,5.013555
108,613433,14228.0,11,0,0,4,6.0,2,0,817,30252,2269,7783,1316,62267,496436,0,2.8177428,6.64197
109,51882,9571.0,6,24,0,6,32.0,2,0,1368,4753,3132,18050,3468,12198,3901,0,9.137684,1.1473533
110,2625237,12112.0,6,0,0,1,50.0,2,0,936,9548,1350,1033,1150,3250,7350,0,-0.26799121,0.004716053
111,897266,10266.0,19,190,0,7,140.0,2,0,484,261746,50352,16050,3342,402202,144409,0,8.235734,4.11342
112,13596949,11896.0,11,0,0,1,0.0,2,0,397,2081,1552,1218,916,1201,3165,0,-0.7752218,0.3231819
113,1295284,2689.0,3,0,0,0,56.0,2,0,127,1261309,681,0,0,0,0,0,10.268405,-6.6183686
114,152374,10319.0,6,70,2,1,11.0,2,1,9710,17953,25887,31021,37679,15133,10118,0,9.862626,1.2497728
115,1207688,5394.0,9,0,0,0,0.0,2,0,2597,2558,3123,1810,496,0,0,0,-0.27142298,-0.23884602
116,640118,11481.0,7,46,2,6,12.0,0,1,24033,200351,34441,34334,65445,86650,191125,0,5.899739,3.2013836
117,352780,6704.0,6,0,0,1,0.0,2,0,16286,2158,2826,1688,1623,338,0,0,0.9612498,-1.8846264
118,68184,6782.0,6,8,0,1,0.0,2,0,2039,2025,6822,43491,6652,500,0,0,11.619013,-1.1502371
119,375559,10985.0,11,0,0,3,6.0,2,0,25931,19840,31368,10522,10231,25752,5103,0,2.611088,-0.0009877075
120,1113406,4151.0,3,0,0,0,1.0,1,0,1001,2034,1103149,567,0,0,0,0,11.148656,-3.3222709
121,635091,11253.0,13,0,0,1,18.0,2,0,32386,1958,3633,1972,2626,4405,14418,0,1.0811775,-1.7913066
122,618358,10703.0,6,405,2,5,19.0,2,1,48323,156639,39767,42067,74341,63711,95761,0,7.493105,1.6059833
123,60750,8312.0,6,34,0,5,5.0,2,0,115,1428,10691,2861,996,28961,9477,0,8.630068,5.438675
124,120572,198.0,1,0,0,0,0.0,2,0,199,0,0,0,0,0,0,0,-0.8292541,-0.20204945
125,1276791,10436.6669921875,16,40,2,5,42.0,2,2,29235,24445,33105,52013,35025,64281,5837,0,1.6320817,0.34873602
126,78726,12305.0,11,0,0,1,16.0,2,0,780,4073,3598,2059,1135,1797,19436,0,2.7364895,1.4512186
127,422782907,11420.0,22,0,0,1,15.0,2,0,422753232,4184,2700,4370,2775,2673,6722,0,1.8558427,-10.210763
128,222198,12484.0,29,17,2,4,111.0,2,2,87078,18128,5957,5317,11614,17343,66574,0,4.2723746,3.6622338
129,77362,11900.0,11,25,2,3,62.0,2,2,2288,8266,12185,4616,3833,23131,13928,0,7.123138,3.855289
130,276688,10169.0,13,58,2,8,22.0,2,1,5319,17686,28586,29624,55854,91975,40210,0,8.929396,3.8392723
131,6322,4506.0,4,0,0,0,0.0,2,0,118,1247,1168,551,0,0,0,0,4.0369425,0.5737732
132,17670,11430.0,10,0,0,4,0.0,1,0,352,1116,414,469,297,6486,4432,0,4.009698,2.3665514
133,303306,10702.0,27,7,2,4,68.0,2,2,51331,29445,28629,64035,52775,60652,9584,0,8.934181,1.7336786
134,784770,12000.0,12,128,0,7,76.0,2,0,35967,60154,160333,145134,159463,114828,101679,0,8.927546,2.1041365
135,137572,6693.0,6,0,0,1,0.0,2,0,3712,1461,1340,1172,1208,50,0,0,1.2912396,-1.3330355
136,18147,11862.0,8,0,0,1,0.0,2,0,1138,1294,2166,1568,1848,1820,4698,0,3.684557,2.1525524
137,115500,11317.0,16,0,0,4,0.0,2,0,6156,2197,3518,2591,2471,5619,48105,0,4.559583,5.1050453
