,timeOnPage,userAgent,maxDepth,step,demoNumOn,beatNumThreeFour,beatNumSixEight,beatNumDefault,beatHoverThree,beatHoverSix,emphasizeThreeFour,emphasizeSixEight,threeFourOn,sixEightOn,playLinear,altThree,altSix,exampleSix,exampleThree,altSix.1,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,x,y
1256,39176,"Mozilla/5.0 (iPad; CPU OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",3401.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,1570,31518,2666,1068,0,-6.8983378410339355,-0.7077756524085999
1257,49831,"Mozilla/5.0 (iPad; CPU OS 11_1_2 like Mac OS X) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0 Mobile/15B202 Safari/604.1",2870.0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,15358,9491,8094,13182,0,0,2.3239810466766357,-1.9031625986099243
1258,83571,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3287.0,7,0,46,35,9,2,4,12,12,12,12,0,0,0,6,4,0,10714,5519,17602,17269,9017,0,-2.4780166149139404,-1.8967911005020142
1259,40325,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",1253.0,2,0,42,42,5,1,0,10,10,10,10,0,0,0,0,0,0,971,22702,118,0,0,0,3.194098711013794,1.2409422397613525
1260,406611,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",3331.0,8,0,722,238,66,12,2,36,26,36,26,0,2,0,2,4,0,107686,74139,110137,106927,4239,0,1.162868618965149,-1.5098751783370972
1261,340055,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,3723.0,16,0,152,80,57,6,6,16,12,16,12,0,0,0,2,2,0,200,92931,90549,107446,5400,1065,-1.8121986389160156,-1.8824266195297241
1262,215947,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3319.0,6,0,190,99,4,2,6,14,14,14,14,0,2,0,2,4,0,25643,57944,24448,70543,9058,0,0.4542440176010132,-2.333714485168457
1263,300065,Mozilla/5.0 (X11; Linux x86_64; rv:61.0) Gecko/20100101 Firefox/61.0,1384.0,3,0,25,27,0,0,0,4,2,4,2,0,0,0,0,0,0,5698,35365,66,0,0,0,-2.346039056777954,4.576746463775635
1264,30617,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3561.0,5,0,22,51,0,0,0,14,8,14,8,0,0,0,0,0,0,13574,5342,1001,2603,3240,1617,2.1899662017822266,4.216582775115967
1265,83057,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,3336.0,6,0,39,36,3,0,0,6,4,6,4,0,0,0,0,0,0,47042,12689,3679,3380,3896,0,3.0632834434509277,4.526288032531738
1266,308089,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3533.0,6,0,15,0,0,0,0,4,0,4,0,0,0,0,0,0,0,2572,1432,3718,1400,1950,17,-5.014481544494629,6.812299728393555
1267,234317,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3485.0,11,0,247,161,14,0,0,19,12,19,12,0,0,0,2,4,0,800,58144,48892,39499,2892,812,-1.6283711194992065,-0.45623692870140076
1268,146569,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",1899.0,4,0,5,1,0,0,2,2,2,2,2,0,0,0,0,0,0,117,383,450,0,0,0,-4.9002861976623535,7.271969318389893
1269,8457,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",1140.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1121,0,0,0,0,-1.5952913761138916,4.574079513549805
1270,22515,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2687.0,2,0,15,15,0,0,2,2,8,2,8,0,0,0,6,2,0,0,0,1858,20479,0,0,-0.5615918040275574,-8.434487342834473
1271,71197862,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3337.0,9,0,182,83,0,10,6,20,18,20,18,0,3,1,2,2,1,41930,9601,46683,41888,517,0,-6.888985633850098,7.129655838012695
1272,27589,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",3031.0,7,0,12,12,0,6,2,6,2,6,2,0,4,0,0,0,0,146,889,21687,2026,90,0,-6.761964797973633,-0.6409586668014526
1273,111865,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,3132.0,5,0,166,78,12,6,2,12,10,12,10,0,0,0,4,2,0,249,9150,39054,34520,183,0,-3.9091105461120605,-3.265185594558716
1274,90314,"Mozilla/5.0 (iPad; CPU OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",3676.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6670,5283,58496,7572,6830,885,-5.750757694244385,-0.6907219886779785
1275,134025,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3614.0,36,0,2,1,0,0,0,4,2,4,2,0,0,0,0,0,0,78195,7851,4941,2633,2662,1701,2.967907667160034,5.419406890869141
1276,24177,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3563.0,9,0,7,8,0,2,0,2,2,2,2,0,0,0,2,0,0,7388,2485,3336,6969,570,232,2.400907516479492,-2.7537682056427
1277,35573,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.75 Safari/537.36",1305.0,6,0,41,10,8,1,0,7,2,7,2,0,0,0,0,0,0,14451,6067,217,0,0,0,2.1354923248291016,4.302606582641602
1278,173219,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3360.0,10,0,91,121,10,4,4,16,18,16,18,0,0,0,8,2,0,14762,10173,43036,58189,3228,0,-1.6353849172592163,-3.919055223464966
1279,2179,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2719.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764,0,0,1.0335137844085693,6.794715404510498
1280,35214,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2297.0,3,0,23,17,3,2,0,4,6,4,6,0,0,0,2,0,0,238,5785,4236,1420,0,0,-2.0065548419952393,3.1717867851257324
1281,69459,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",3319.0,5,0,101,52,0,10,2,18,8,18,8,0,1,0,2,2,0,6745,11225,18441,22292,1438,0,-0.9869773387908936,-3.1301686763763428
