,timeOnPage,maxDepth,isInTune,clean,playRiff,playReference,autotuneGuitar,playNotes,playBeats,beatDiff,vizMode,guitarState,currentFrequency,targetString,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,timeSect6,timeSect7,timeSect8,timeSect9,timeSect10,timeSect11,timeSect12,timeSect13,x,y
131,21173,5396,0,0,0,2,2,0,0,0,0,5,6,6,1354,1465,2101,250,1252,2850,1539,331,403,0,0,0,0,0,-2.400504791,0.031113917
132,63742,2428,0,0,0,0,0,0,0,0,0,2,19,14,2215,24631,34745,1629,0,0,0,0,0,0,0,0,0,0,-0.100945514,-4.76939837
133,147836,8920,0,1,0,2,2,0,0,0,0,5,147,57,34,32,67932,633,3411,21490,103,1297,4799,37,2065,1365,367,0,2.300870772,-1.397930361
134,13560187,5702,0,0,0,2,2,0,0,0,0,5,95,50,901,4303,45583,67,3669,9093,1682,1421,68,0,0,0,0,0,-7.91518659,-3.296994256
135,43818,10208,0,1,0,2,2,0,0,0,0,5,6,6,823,4150,3617,1933,10867,11050,3283,2018,103,1964,815,166,651,1284,-1.386443927,0.102098659
136,505620,9698,5,3,0,2,8,74,8,0,2,11,769,511,3164,29550,7642,210988,13812,57960,13866,690,33266,1124,4416,86080,15866,19694,-5.210087853,1.598910124
137,149244,10921,4,1,2,2,2,2,0,0,0,5,278,183,4214,9666,63314,2672,8752,14606,2764,1370,1732,5320,15162,5620,1266,12094,1.785306413,-0.173489468
138,90122,10753,4,1,0,2,2,4,0,0,0,5,126,60,94,1535,22899,932,2200,903,1332,1748,434,420,6214,883,300,8836,-0.046728102,-0.431364427
139,1094248,5506.600098,0,0,0,2,2,0,0,0,0,5,6,6,246,2426,3048,1536,1270,1588,1416,160,1130,0,0,0,0,0,-7.254809764,-3.317857176
140,86360,10814,0,1,0,4,4,0,0,0,0,9,102,75,283,10315,18764,1002,2598,5238,1013,4133,715,1600,1456,2381,10216,13367,-0.343298336,0.236400531
141,8153,6374,0,1,0,2,2,0,0,0,0,5,1,1,1366,399,1589,267,1564,552,77,756,49,134,116,0,0,0,-4.106696585,2.105697216
